,사고일시,사고월,사고시,사고요일,시간대,시군구,대분류,중분류,소분류,사고내용,사망자수,중상자수,경상자수,부상신고자수,법규위반,노면상태,기상상태,도로형태,가해운전자 성별,가해운전자 연령,주말,공휴일,휴일,부상자수,ECLO,교통안전지수,도로환경,주류 인허가 음식점,사고건수
3490,2022-08-18 05:00:00,8월,05시,목요일,아침,서울특별시 강남구 논현동,서울특별시,강남구,논현동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,교차로 - 교차로안,남,24세,0,0,0,0,3,71.06,65.21,2060.0,2
3491,2022-08-18 05:00:00,8월,05시,목요일,아침,서울특별시 강남구 논현동,서울특별시,강남구,논현동,경상사고,0,0,2,0,안전운전불이행,건조,맑음,기타 - 기타,남,30세,0,0,0,0,6,71.06,65.21,2060.0,2
3492,2022-08-18 21:00:00,8월,21시,목요일,밤,서울특별시 은평구 대조동,서울특별시,은평구,대조동,부상신고사고,0,0,0,1,신호위반,건조,맑음,교차로 - 교차로안,남,62세,0,0,0,1,1,80.11,82.5,414.0,1
3493,2022-08-19 00:00:00,8월,00시,금요일,새벽,서울특별시 영등포구 양평동3가,서울특별시,영등포구,양평동3가,경상사고,0,0,2,0,안전운전불이행,건조,맑음,단일로 - 기타,남,49세,0,0,0,0,6,70.74,73.22,80.0,1
3494,2022-08-19 00:00:00,8월,00시,금요일,새벽,서울특별시 강서구 염창동,서울특별시,강서구,염창동,중상사고,0,1,0,0,안전운전불이행,건조,맑음,단일로 - 기타,남,49세,0,0,0,0,5,77.4,79.28,231.0,1
3495,2022-08-19 01:00:00,8월,01시,금요일,새벽,서울특별시 영등포구 영등포동2가,서울특별시,영등포구,영등포동2가,경상사고,0,0,1,0,안전운전불이행,건조,맑음,단일로 - 기타,여,33세,0,0,0,0,3,70.74,73.22,53.0,1
3496,2022-08-19 04:00:00,8월,04시,금요일,새벽,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,경상사고,0,0,2,1,안전운전불이행,건조,기타,교차로 - 교차로안,남,38세,0,0,0,1,7,71.06,65.21,3183.0,2
3497,2022-08-19 07:00:00,8월,07시,금요일,출근,서울특별시 영등포구 영등포동2가,서울특별시,영등포구,영등포동2가,경상사고,0,0,1,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,35세,0,0,0,0,3,70.74,73.22,53.0,1
3498,2022-08-19 20:00:00,8월,20시,금요일,저녁,서울특별시 성북구 안암동1가,서울특별시,성북구,안암동1가,경상사고,0,0,1,0,신호위반,젖음/습기,비,단일로 - 기타,남,55세,0,0,0,0,3,79.02,80.19,33.0,2
3499,2022-08-19 23:00:00,8월,23시,금요일,밤,서울특별시 동작구 노량진동,서울특별시,동작구,노량진동,중상사고,0,1,1,0,안전운전불이행,젖음/습기,흐림,단일로 - 기타,남,32세,0,0,0,0,8,78.91,80.31,509.0,1
3500,2022-08-20 01:00:00,8월,01시,토요일,새벽,서울특별시 성북구 동선동1가,서울특별시,성북구,동선동1가,경상사고,0,0,1,0,안전운전불이행,건조,기타,단일로 - 기타,남,47세,1,0,1,0,3,79.02,80.19,274.0,1
3501,2022-08-20 01:00:00,8월,01시,토요일,새벽,서울특별시 금천구 독산동,서울특별시,금천구,독산동,부상신고사고,0,0,0,1,안전운전불이행,젖음/습기,비,단일로 - 기타,남,25세,1,0,1,1,1,76.2,69.31,1148.0,2
3502,2022-08-20 03:00:00,8월,03시,토요일,새벽,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,경상사고,0,0,1,0,교차로운행방법위반,건조,맑음,교차로 - 교차로안,남,42세,1,0,1,0,3,71.06,65.21,3183.0,3
3503,2022-08-20 04:00:00,8월,04시,토요일,새벽,서울특별시 강서구 개화동,서울특별시,강서구,개화동,경상사고,0,0,1,0,신호위반,젖음/습기,흐림,단일로 - 기타,남,44세,1,0,1,0,3,77.4,79.28,,1
3504,2022-08-20 10:00:00,8월,10시,토요일,낮,서울특별시 영등포구 대림동,서울특별시,영등포구,대림동,경상사고,0,0,2,0,안전운전불이행,기타,기타,단일로 - 기타,남,50세,1,0,1,0,6,70.74,73.22,872.0,1
3505,2022-08-20 13:00:00,8월,13시,토요일,낮,서울특별시 강동구 천호동,서울특별시,강동구,천호동,중상사고,0,1,0,0,안전운전불이행,건조,맑음,교차로 - 교차로안,남,69세,1,0,1,0,5,80.62,82.21,989.0,1
3506,2022-08-20 14:00:00,8월,14시,토요일,낮,서울특별시 금천구 가산동,서울특별시,금천구,가산동,경상사고,0,0,6,0,안전운전불이행,건조,맑음,단일로 - 기타,남,56세,1,0,1,0,18,76.2,69.31,1090.0,1
3507,2022-08-20 19:00:00,8월,19시,토요일,저녁,서울특별시 구로구 구로동,서울특별시,구로구,구로동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,교차로 - 교차로안,남,58세,1,0,1,0,3,77.48,81.78,2105.0,2
3508,2022-08-20 20:00:00,8월,20시,토요일,저녁,서울특별시 동대문구 청량리동,서울특별시,동대문구,청량리동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,64세,1,0,1,0,3,71.64,71.44,255.0,1
3509,2022-08-20 22:00:00,8월,22시,토요일,밤,서울특별시 강서구 마곡동,서울특별시,강서구,마곡동,경상사고,0,0,2,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,63세,1,0,1,0,6,77.4,79.28,1478.0,3
3510,2022-08-20 23:00:00,8월,23시,토요일,밤,서울특별시 중랑구 상봉동,서울특별시,중랑구,상봉동,경상사고,0,0,5,0,안전운전불이행,건조,맑음,단일로 - 기타,남,27세,1,0,1,0,15,79.6,81.64,671.0,2
3511,2022-08-21 01:00:00,8월,01시,일요일,새벽,서울특별시 송파구 마천동,서울특별시,송파구,마천동,중상사고,0,1,0,0,안전운전불이행,건조,맑음,단일로 - 기타,남,50세,1,0,1,0,5,69.29,71.44,337.0,1
3512,2022-08-21 02:00:00,8월,02시,일요일,새벽,서울특별시 용산구 이촌동,서울특별시,용산구,이촌동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,기타 - 기타,남,46세,1,0,1,0,3,81.45,82.85,188.0,1
3513,2022-08-21 02:00:00,8월,02시,일요일,새벽,서울특별시 송파구 가락동,서울특별시,송파구,가락동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,23세,1,0,1,0,3,69.29,71.44,925.0,2
3514,2022-08-21 04:00:00,8월,04시,일요일,새벽,서울특별시 강서구 등촌동,서울특별시,강서구,등촌동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,37세,1,0,1,0,3,77.4,79.28,698.0,1
3515,2022-08-21 05:00:00,8월,05시,일요일,아침,서울특별시 용산구 이태원동,서울특별시,용산구,이태원동,부상신고사고,0,0,0,1,안전운전불이행,건조,맑음,기타 - 기타,남,28세,1,0,1,1,1,81.45,82.85,1042.0,4
3516,2022-08-21 07:00:00,8월,07시,일요일,출근,서울특별시 강남구 신사동,서울특별시,강남구,신사동,경상사고,0,0,2,0,안전운전불이행,건조,맑음,단일로 - 기타,남,23세,1,0,1,0,6,71.06,65.21,2311.0,1
3517,2022-08-21 19:00:00,8월,19시,일요일,저녁,서울특별시 성동구 성수동1가,서울특별시,성동구,성수동1가,경상사고,0,0,2,0,안전운전불이행,건조,흐림,단일로 - 기타,남,55세,1,0,1,0,6,80.74,82.58,853.0,2
3518,2022-08-21 21:00:00,8월,21시,일요일,밤,서울특별시 동대문구 신설동,서울특별시,동대문구,신설동,중상사고,0,1,0,0,신호위반,건조,맑음,교차로 - 교차로부근,남,25세,1,0,1,0,5,71.64,71.44,196.0,1
3519,2022-08-21 21:00:00,8월,21시,일요일,밤,서울특별시 마포구 서교동,서울특별시,마포구,서교동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,25세,1,0,1,0,3,78.43,78.12,1871.0,1
3520,2022-08-21 23:00:00,8월,23시,일요일,밤,서울특별시 양천구 신월동,서울특별시,양천구,신월동,중상사고,0,1,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,59세,1,0,1,0,8,77.76,80.55,903.0,2
3521,2022-08-22 08:00:00,8월,08시,월요일,출근,서울특별시 광진구 광장동,서울특별시,광진구,광장동,경상사고,0,0,2,0,안전운전불이행,건조,맑음,단일로 - 기타,남,54세,0,0,0,0,6,82.44,85.38,166.0,1
3522,2022-08-22 14:00:00,8월,14시,월요일,낮,서울특별시 노원구 공릉동,서울특별시,노원구,공릉동,경상사고,0,0,2,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,58세,0,0,0,0,6,79.46,81.04,826.0,1
3523,2022-08-22 17:00:00,8월,17시,월요일,퇴근,서울특별시 노원구 상계동,서울특별시,노원구,상계동,부상신고사고,0,0,0,1,보행자보호의무위반,건조,맑음,단일로 - 기타,남,74세,0,0,0,1,1,79.46,81.04,1667.0,1
3524,2022-08-23 00:00:00,8월,00시,화요일,새벽,서울특별시 성북구 보문동5가,서울특별시,성북구,보문동5가,경상사고,0,0,1,0,안전운전불이행,젖음/습기,비,단일로 - 기타,남,25세,0,0,0,0,3,79.02,80.19,25.0,1
3525,2022-08-23 05:00:00,8월,05시,화요일,아침,서울특별시 강서구 염창동,서울특별시,강서구,염창동,중상사고,0,1,0,0,중앙선침범,젖음/습기,비,기타 - 기타,남,33세,0,0,0,0,5,77.4,79.28,231.0,1
3526,2022-08-23 07:00:00,8월,07시,화요일,출근,서울특별시 강서구 화곡동,서울특별시,강서구,화곡동,경상사고,0,0,1,0,안전운전불이행,젖음/습기,맑음,단일로 - 기타,남,31세,0,0,0,0,3,77.4,79.28,2247.0,1
3527,2022-08-23 18:00:00,8월,18시,화요일,퇴근,서울특별시 성동구 성수동1가,서울특별시,성동구,성수동1가,경상사고,0,0,1,0,안전운전불이행,건조,맑음,기타 - 기타,남,46세,0,0,0,0,3,80.74,82.58,853.0,1
3528,2022-08-23 23:00:00,8월,23시,화요일,밤,서울특별시 강남구 일원동,서울특별시,강남구,일원동,경상사고,0,0,2,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,31세,0,0,0,0,6,71.06,65.21,220.0,2
3529,2022-08-24 00:00:00,8월,00시,수요일,새벽,서울특별시 노원구 월계동,서울특별시,노원구,월계동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,32세,0,0,0,0,3,79.46,81.04,449.0,1
3530,2022-08-24 01:00:00,8월,01시,수요일,새벽,서울특별시 성북구 정릉동,서울특별시,성북구,정릉동,경상사고,0,0,1,0,중앙선침범,건조,맑음,단일로 - 기타,남,35세,0,0,0,0,3,79.02,80.19,504.0,1
3531,2022-08-24 02:00:00,8월,02시,수요일,새벽,서울특별시 성북구 길음동,서울특별시,성북구,길음동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,여,42세,0,0,0,0,3,79.02,80.19,239.0,1
3532,2022-08-24 18:00:00,8월,18시,수요일,퇴근,서울특별시 성동구 행당동,서울특별시,성동구,행당동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,80세,0,0,0,0,3,80.74,82.58,587.0,1
3533,2022-08-24 22:00:00,8월,22시,수요일,밤,서울특별시 금천구 가산동,서울특별시,금천구,가산동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,44세,0,0,0,0,3,76.2,69.31,1090.0,2
3534,2022-08-24 22:00:00,8월,22시,수요일,밤,서울특별시 서초구 양재동,서울특별시,서초구,양재동,경상사고,0,0,2,0,안전운전불이행,건조,맑음,단일로 - 기타,남,25세,0,0,0,0,6,77.61,77.98,939.0,2
3535,2022-08-25 00:00:00,8월,00시,목요일,새벽,서울특별시 구로구 구로동,서울특별시,구로구,구로동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,38세,0,0,0,0,3,77.48,81.78,2105.0,3
3536,2022-08-25 06:00:00,8월,06시,목요일,아침,서울특별시 서초구 서초동,서울특별시,서초구,서초동,중상사고,0,1,0,0,안전운전불이행,건조,맑음,단일로 - 기타,남,19세,0,0,0,0,5,77.61,77.98,2178.0,1
3537,2022-08-25 17:00:00,8월,17시,목요일,퇴근,서울특별시 성북구 돈암동,서울특별시,성북구,돈암동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,69세,0,0,0,0,3,79.02,80.19,71.0,1
3538,2022-08-25 20:00:00,8월,20시,목요일,저녁,서울특별시 은평구 갈현동,서울특별시,은평구,갈현동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,54세,0,0,0,0,3,80.11,82.5,680.0,1
